GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Backend,com.example.Backend.Messages,Messages,21,0,0,0,8,0,4,0,4,0
Backend,com.example.Backend.Messages,MessagesController,21,3,0,0,4,1,4,1,4,1
Backend,com.example.Backend,BackendApplication,5,3,0,0,2,1,1,1,1,1
Backend,com.example.Backend.User,AdminController,43,3,4,0,9,1,6,1,4,1
Backend,com.example.Backend.User,CoachController,200,3,18,0,45,1,19,1,10,1
Backend,com.example.Backend.User,Sportsman,23,36,0,0,8,9,4,3,4,3
Backend,com.example.Backend.User,Coach,167,141,10,4,43,31,20,8,15,6
Backend,com.example.Backend.User,Admin,0,16,0,0,0,3,0,1,0,1
Backend,com.example.Backend.User,SportsmanController,160,3,18,0,35,1,17,1,8,1
Backend,com.example.Backend.User,User,71,102,0,0,7,41,5,20,5,20
Backend,com.example.Backend.Sports,Sports,28,33,0,0,1,14,1,7,1,7
Backend,com.example.Backend.Sports,SportsController,55,3,2,0,11,1,6,1,5,1
